City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Aykhal,66.0,111.5,51.8,87,90,4.47,RU,1595102745
Qiyang,26.59,111.85,80.92,76,100,6.6,CN,1595102745
Hilo,19.73,-155.09,84.2,62,75,4.7,US,1595102514
Leningradskiy,69.38,178.42,37.72,82,100,10.38,RU,1595102745
Albany,42.6,-73.97,91.99,36,3,4.79,US,1595102607
Punta Arenas,-53.15,-70.92,35.6,80,40,18.34,CL,1595102745
Busselton,-33.65,115.33,51.01,78,37,6.91,AU,1595102338
Yellowknife,62.46,-114.35,73.0,49,20,12.75,CA,1595102339
Barrow,71.29,-156.79,37.4,86,90,16.11,US,1595102538
Berlevåg,70.86,29.09,51.87,84,96,2.84,NO,1595102746
Ambāgarh Chauki,20.78,80.72,79.07,84,100,6.87,IN,1595102746
Nikolskoye,59.7,30.79,66.0,72,100,4.47,RU,1595102340
Campbell River,50.02,-125.24,70.0,52,75,9.17,CA,1595102340
Vaini,-21.2,-175.2,75.2,88,75,5.82,TO,1595102340
Mahon,39.89,4.27,75.2,73,20,6.93,ES,1595102340
Half Moon Bay,37.46,-122.43,73.99,77,20,6.93,US,1595102048
Dingle,11.0,122.67,76.41,88,92,4.68,PH,1595102340
Wanning,18.8,110.4,81.25,83,57,11.32,CN,1595102159
Longyearbyen,78.22,15.64,46.4,70,75,6.93,SJ,1595102747
Poya,-21.35,165.15,64.24,78,42,2.95,NC,1595102341
Sunrise Manor,36.21,-115.07,102.99,12,0,4.7,US,1595102341
George Town,5.41,100.34,78.01,94,20,6.58,MY,1595102319
Bambous Virieux,-20.34,57.76,69.8,56,40,12.75,MU,1595102283
Carnarvon,-24.87,113.63,51.8,81,0,12.75,AU,1595102097
Jalaud,10.84,122.64,78.22,84,97,6.17,PH,1595102341
El Jícaro,14.92,-89.9,90.37,50,48,3.2,GT,1595102342
Pevek,69.7,170.31,43.59,68,0,1.68,RU,1595102190
Adrar,20.5,-10.07,99.82,18,57,10.04,MR,1595102342
Constitución,-35.33,-72.42,56.53,86,99,14.58,CL,1595102342
New Norfolk,-42.78,147.06,46.0,80,60,1.01,AU,1595102257
Tuktoyaktuk,69.45,-133.04,42.8,87,90,11.41,CA,1595102342
Mataura,-46.19,168.86,30.69,93,0,2.3,NZ,1595102342
Esperance,-33.87,121.9,50.0,100,40,4.7,AU,1595102343
Saskylakh,71.92,114.08,44.53,73,24,11.41,RU,1595102343
Provideniya,64.38,-173.3,45.79,78,97,3.87,RU,1595102343
Khatanga,71.97,102.5,44.85,82,100,0.13,RU,1595102343
Atuona,-9.8,-139.03,79.38,79,83,15.39,PF,1595102344
Cape Town,-33.93,18.42,54.0,93,0,1.12,ZA,1595102344
Buala,-8.14,159.59,80.31,79,90,7.54,SB,1595102344
Hermanus,-34.42,19.23,48.99,93,0,5.61,ZA,1595102261
Deputatsky,69.3,139.9,47.93,66,80,7.16,RU,1595102344
Novoagansk,61.94,76.66,62.2,97,87,1.77,RU,1595102327
Rikitea,-23.12,-134.97,73.13,82,23,22.62,PF,1595102344
Clyde River,70.47,-68.59,44.6,81,75,13.87,CA,1595102345
Dongying,37.46,118.49,72.0,86,100,8.7,CN,1595102345
Ushuaia,-54.8,-68.3,33.8,94,75,1.12,AR,1595102345
Bengkulu,-3.8,102.27,74.71,89,100,3.87,ID,1595102345
Hithadhoo,-0.6,73.08,79.29,80,100,33.84,MV,1595102345
Yelizovo,53.19,158.38,55.4,87,97,4.47,RU,1595102345
Nouadhibou,20.93,-17.03,71.6,88,75,17.22,MR,1595102278
Cherskiy,68.75,161.3,59.94,65,0,2.95,RU,1595102265
Najrān,17.49,44.13,91.4,18,40,5.82,SA,1595102335
Port Alfred,-33.59,26.89,62.69,59,0,11.34,ZA,1595102346
Cockburn Town,21.46,-71.14,82.81,79,2,16.2,TC,1595102346
Bayir,37.27,28.22,71.6,78,0,3.36,TR,1595102346
Te Anau,-45.42,167.72,32.86,88,0,0.96,NZ,1595102259
Kangalassy,62.35,129.96,60.8,87,83,6.71,RU,1595102346
Waingapu,-9.66,120.26,72.75,83,61,5.39,ID,1595102346
Bandundu Province,-3.32,17.37,78.69,49,0,2.71,CD,1595102346
Makkah al Mukarramah,21.43,39.83,90.75,17,60,7.23,SA,1595102347
Yanam,16.73,82.22,80.26,85,86,3.4,IN,1595102347
Bāgepalli,13.78,77.79,71.6,100,75,8.05,IN,1595102347
Hong Kong,22.29,114.16,84.0,79,100,8.01,HK,1595102265
Baykit,61.67,96.37,45.21,84,44,4.03,RU,1595102348
Sitka,57.05,-135.33,55.4,93,90,11.41,US,1595102348
Uusikaupunki,60.8,21.41,68.0,64,3,6.93,FI,1595102348
Łaziska Górne,50.15,18.84,64.0,1,100,6.8,PL,1595102348
Faya,18.39,42.45,77.0,40,40,4.7,SA,1595102348
Sola,-13.88,167.55,79.39,80,82,4.14,VU,1595102348
Avarua,-21.21,-159.78,71.6,73,90,12.75,CK,1595102349
Kawardha,22.02,81.25,83.91,69,100,7.34,IN,1595102349
Chokurdakh,70.63,147.92,48.45,58,0,11.95,RU,1595102349
Salisbury,51.07,-1.8,68.0,64,57,12.75,GB,1595102104
Kiunga,-6.12,141.29,72.14,99,100,1.79,PG,1595102349
Airai,-8.93,125.41,55.29,54,100,2.37,TL,1595102349
Vila Velha,-20.33,-40.29,75.2,64,20,9.17,BR,1595102136
Ixtapa,20.7,-105.2,90.0,66,40,8.05,MX,1595102280
Port Moresby,-9.44,147.18,73.53,89,100,5.77,PG,1595102350
New Bern,35.11,-77.04,93.99,59,1,6.93,US,1595102350
Talnakh,69.49,88.4,50.0,87,63,8.95,RU,1595102350
Lárdos,36.09,28.02,75.99,78,0,13.87,GR,1595102350
Conceição do Araguaia,-8.26,-49.26,91.62,35,0,3.44,BR,1595102350
Katakwi,1.89,33.97,62.67,80,75,4.43,UG,1595102350
East London,-33.02,27.91,66.78,40,0,7.74,ZA,1595102351
Lüderitz,-26.65,15.16,71.6,17,0,3.36,NA,1595102351
Lensk,60.73,114.93,47.93,91,0,4.38,RU,1595102351
Tulum,20.22,-87.47,84.0,83,75,6.93,MX,1595102145
Zhigansk,66.77,123.37,56.03,87,80,8.63,RU,1595102351
Grand Gaube,-20.01,57.66,66.99,70,2,1.99,MU,1595102351
Bluff,-46.6,168.33,36.46,81,0,8.25,NZ,1595102251
Caçador,-26.78,-51.02,69.13,71,0,3.56,BR,1595102351
